s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
3.09882716,3.77978706,0.04344711,0.18698902,-0.59809470,5.66007000,4.66382085
3.14847638,3.82870266,0.05195055,0.17242823,0.01246083,5.70102720,4.65487188
3.19814118,3.87762835,0.06048692,0.17536384,0.10563903,5.74161110,4.64566850
3.24786287,3.92656454,0.06929009,0.18021805,0.08972231,5.78182970,4.63657568
3.29759258,3.97546884,0.07831295,0.19062758,0.32851000,5.82169070,4.62718276
3.34738630,4.02428188,0.08814668,0.19553045,-0.13120123,5.86120150,4.61781290
3.39716588,4.07314423,0.09765864,0.18706109,-0.20897330,5.90036940,4.60839764
3.44696008,4.12211728,0.10666437,0.17874383,-0.12518618,5.93920130,4.59898161
3.49674088,4.17113231,0.11536235,0.17051065,-0.20550972,5.97770400,4.58965866
3.54653295,4.22024488,0.12356023,0.16581972,0.01704691,6.01588380,4.58033988
3.59631407,4.26933968,0.13179798,0.17210289,0.23530088,6.05374700,4.57108313
3.64611192,4.31835107,0.14061329,0.17626442,-0.06810568,6.09129980,4.56181352
3.69589558,4.36737810,0.14925988,0.17332306,-0.05003147,6.12854790,4.55261053
3.74568827,4.41643541,0.15778587,0.17131468,-0.03065808,6.16549700,4.54337438
3.79546312,4.46548809,0.16623395,0.17281899,0.09113090,6.20215260,4.53424098
3.84522841,4.51449254,0.17490275,0.17256024,-0.10156761,6.23852010,4.52506550
3.89498369,4.56353030,0.18332208,0.16429965,-0.23033634,6.27460460,4.51598029
3.94476551,4.61268757,0.19118292,0.15357315,-0.20078863,6.31041100,4.50684823
3.99453150,4.66190529,0.19854974,0.12906950,-0.78346473,6.34594430,4.49782733
4.04432206,4.71139725,0.20399455,0.10860065,-0.03907266,6.38120920,4.48874500
4.09410975,4.76089685,0.20934276,0.10878108,0.04631010,6.41621010,4.47975653
4.14391087,4.81039734,0.21480657,0.11055702,0.02502820,6.45095160,4.47073315
4.19370310,4.85988215,0.22033108,0.12315993,0.48131604,6.48543800,4.46177920
4.24348082,4.90920599,0.22703774,0.13358557,-0.06258623,6.51967330,4.45279279
4.29325356,4.95854556,0.23359005,0.12770855,-0.17351082,6.55366180,4.44388257
4.34304073,5.00795421,0.23971774,0.12125732,-0.08569837,6.58740740,4.43494438
4.39282368,5.05738434,0.24563407,0.10726702,-0.47613009,6.62091390,4.42604317
4.44262808,5.10696221,0.25037895,0.09461960,-0.03194879,6.65418500,4.41714681
4.49243040,5.15654548,0.25504475,0.09506394,0.04979282,6.68722450,4.40829008
4.54223439,5.20611870,0.25983366,0.09497077,-0.05353568,6.72003580,4.39942494
4.59203548,5.25570162,0.26449010,0.08433615,-0.37356128,6.75262240,4.39061219
4.64183371,5.30535974,0.26822316,0.07343326,-0.06430393,6.78498770,4.38178467
4.69162447,5.35502209,0.27179667,0.04865248,-0.93357578,6.81713490,4.37301753
4.74127784,5.40465943,0.27305816,0.02472983,-0.02734147,6.84906740,4.36423176
4.79093469,5.45430193,0.27425234,0.02335244,-0.02813492,6.88078810,4.35549022
4.84059449,5.50394898,0.27537723,0.02206250,-0.02381589,6.91230010,4.34673743
4.89025806,5.55360110,0.27644348,0.03119467,0.39088391,6.94360640,4.33803855
4.94000867,5.60331011,0.27847778,0.04038539,-0.02073334,6.97470990,4.32932197
4.98976226,5.65302416,0.28046091,0.04289265,0.12147234,7.00561340,4.32065445
5.03953498,5.70274443,0.28274539,0.04553424,-0.01527876,7.03631960,4.31198630
5.08931097,5.75246967,0.28499222,0.04578600,0.02539186,7.06683130,4.30335787
5.13909081,5.80219590,0.28730206,0.04607599,-0.01373839,7.09715120,4.29470193
5.18887415,5.85192718,0.28957806,0.05034233,0.18508371,7.12728160,4.28609986
5.23867086,5.90164873,0.29231299,0.05491482,-0.00138832,7.15722530,4.27749031
5.28847225,5.95137514,0.29504473,0.06439978,0.38235322,7.18698460,4.26909239
5.33826591,6.00103282,0.29872216,0.07441973,0.02003773,7.21656190,4.26059049
5.38806623,6.05069345,0.30244964,0.06814495,-0.27206720,7.24595960,4.25224620
5.43785987,6.10039334,0.30550358,0.06043337,-0.03762771,7.27517990,4.24376780
5.48766431,6.15010966,0.30846503,0.03867246,-0.83806318,7.30422520,4.23521763
5.53735648,6.19979397,0.30934956,0.01497635,-0.11369009,7.33309750,4.22672211
5.58705222,6.24948604,0.30995343,0.01342395,0.05119737,7.36179920,4.21816008
5.63675635,6.29918480,0.31068386,0.01462968,-0.00267182,7.39033220,0.07487279
5.68647050,6.34889367,0.31140784,0.03281229,0.73312152,7.36281120,-7.85321290
5.73625214,6.39861049,0.31394742,0.05392047,0.11580869,7.28378730,-11.38975811
5.78605685,6.44833488,0.31677496,0.07351457,0.67200036,7.20661000,-11.19560513
5.83579119,6.49786681,0.32125738,0.09337372,0.12563913,7.12860060,-11.35230047
5.88552040,6.54736466,0.32604870,0.09475571,-0.07005272,7.04752910,-11.74773544
5.93526286,6.59689210,0.33066877,0.09269206,-0.01293767,6.96207910,-12.25814417
5.98501122,6.64642838,0.33525751,0.07881947,-0.54424109,6.87163230,-12.39218322
6.03480679,6.69611789,0.33850593,0.06222876,-0.12256553,6.78190770,-11.98406311
6.08462090,6.74584479,0.34145207,0.05247533,-0.26913039,6.69508060,-11.45011122
6.13442397,6.79559570,0.34373086,0.04445611,-0.05285005,6.61102930,-10.94618170
