x,y,yaw,curvature,speed
0.812838,0.392250,-1.049685,4.177413,3.000
0.871455,0.312655,-0.707853,4.797992,3.000
0.959538,0.266704,-0.354268,2.570806,3.000
1.056737,0.244124,-0.152937,1.514653,3.000
1.156362,0.236365,-0.045234,0.650347,3.000
1.256349,0.235089,-0.006755,0.120291,3.000
1.356349,0.235015,0.001172,0.038256,3.000
1.456348,0.235323,0.016443,0.267249,3.000
1.556284,0.238302,0.072688,0.859653,3.000
1.655544,0.249828,0.150707,0.702971,3.000
1.753816,0.268299,0.156625,-0.584198,3.000
1.852935,0.280999,0.081629,-0.917977,3.000
1.952849,0.284582,0.019922,-0.318498,3.000
2.052847,0.284983,0.002095,-0.038181,3.000
2.152847,0.285001,0.000410,0.004495,3.000
2.252847,0.285065,0.005273,0.092761,3.000
2.352839,0.286056,0.036160,0.525539,3.000
2.452594,0.292291,0.111428,0.982520,3.000
2.551268,0.308258,0.167242,0.136271,3.000
2.649728,0.325571,0.126561,-0.952143,3.000
2.749360,0.333464,0.046682,-0.648111,3.000
2.849346,0.334896,0.007675,-0.132958,3.000
2.949345,0.334999,0.000806,-0.004437,3.000
3.049345,0.335057,0.004814,0.084599,3.000
3.149338,0.335961,0.034091,0.501444,3.000
3.249117,0.341870,0.108456,0.988563,3.000
3.347834,0.357574,0.167521,0.195254,3.000
3.446243,0.375205,0.134100,-0.865230,3.000
3.545796,0.384281,0.085175,-0.114869,3.000
3.645442,0.392213,0.139814,1.212302,3.000
3.743361,0.412085,0.190711,-0.190381,3.000
3.841636,0.430090,0.124066,-1.145881,3.000
3.941406,0.436782,0.085764,0.375987,3.000
4.040816,0.447214,0.146130,0.832707,3.000
4.139053,0.465872,0.175425,-0.245312,3.000
4.237708,0.482113,0.151205,-0.239183,3.000
4.336734,0.495992,0.168365,0.582769,3.000
4.434784,0.515611,0.199456,0.039496,3.000
4.532760,0.535618,0.215534,0.282173,3.000
4.630118,0.558376,0.215027,-0.292617,3.000
4.728018,0.578263,0.138479,-1.242818,3.000
4.827692,0.585912,0.084935,0.166788,3.000
4.927224,0.595223,0.136676,0.869623,3.000
5.025587,0.613130,0.169761,-0.206340,3.000
5.124286,0.629002,0.125225,-0.685169,3.000
5.223863,0.638089,0.097655,0.132888,3.000
5.323316,0.648500,0.078571,-0.515316,3.000
5.423085,0.653775,-0.014262,-1.347446,3.000
5.522699,0.645656,-0.081512,-0.003827,3.000
5.622344,0.637497,-0.052144,0.591677,3.000
5.722308,0.635238,-0.012343,0.204929,3.000
5.822307,0.635029,0.001025,0.062461,3.000
5.922306,0.635443,0.019226,0.301674,3.000
6.022232,0.638873,0.064760,0.609617,3.000
6.121764,0.648378,0.074650,-0.411779,3.000
6.221529,0.653778,-0.012266,-1.332382,3.000
6.321162,0.645932,-0.073388,0.103918,3.000
6.420884,0.639121,-0.006063,1.248073,3.000
6.520613,0.644723,0.114047,1.162378,3.000
6.619103,0.661826,0.165988,-0.119030,3.000
6.717783,0.677755,0.111054,-0.982149,3.000
6.817541,0.683955,0.035935,-0.522923,3.000
6.917533,0.684936,0.005233,-0.091683,3.000
7.017533,0.685001,0.000806,0.003137,3.000
7.117533,0.685097,0.007256,0.125873,3.000
7.217519,0.686452,0.044837,0.626621,3.000
