s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
7.89725821,7.79509400,0.54341200,1.08819420,2.24802961,1.1552,0.0
7.99721888,7.83131100,0.63658100,1.22831995,0.56538865,2.3035,0.0
8.09721262,7.86221600,0.73167900,1.27667127,0.40178569,2.7325,0.0
8.19720570,7.88927600,0.82794100,1.30365751,0.13793871,4.6636,0.0
8.29720387,7.91500700,0.92457200,1.28783108,-0.45446716,2.5693,0.0
8.39719344,7.94509900,1.01992600,1.24021305,-0.49784905,2.4548,0.0
8.49718586,7.97990000,1.11366700,1.21913712,0.07634773,6.2685,0.0
8.59716241,8.01397900,1.20765600,1.28415686,1.22543511,1.5646,0.0
8.69698725,8.03628400,1.30495700,1.42094087,1.50965030,1.4097,0.0
8.79689990,8.04371400,1.40459300,1.53438321,0.76034867,1.9863,0.0
8.89688402,8.04355600,1.50457700,1.60792722,0.71128293,2.0537,0.0
8.99682499,8.03629700,1.60425400,1.69185029,0.96711389,1.7613,0.0
9.09678886,8.01944400,1.70278700,1.73802874,-0.04336794,8.0000,0.0
9.19674854,8.00301900,1.80138800,1.68737754,-0.96982926,1.7588,0.0
9.29669314,7.99621900,1.90110100,1.61061443,-0.56538730,2.3035,0.0
9.39668982,7.99506300,2.00109100,1.57870664,-0.07300726,6.4103,0.0
9.49668873,7.99463700,2.10108900,1.58916115,0.28214317,3.2608,0.0
9.59666844,7.99139100,2.20101600,1.64741729,0.88334798,1.8429,0.0
9.69659356,7.97935000,2.30021300,1.72410848,0.65029111,2.1479,0.0
9.79658773,7.96087700,2.39848600,1.72520499,-0.62833881,2.1851,0.0
9.89651554,7.94861800,2.49765900,1.65487291,-0.77810915,1.9635,0.0
9.99650662,7.94410100,2.59754800,1.63703031,0.42127991,2.6685,0.0
10.09640704,7.93539100,2.69706800,1.76519430,2.15040954,1.1811,0.0
10.19582595,7.90581900,2.79198700,2.05576723,3.67190390,0.9039,0.0
10.29492058,7.84439700,2.86975000,2.39299138,3.06961342,0.9886,0.0
10.39464826,7.76185900,2.92572400,2.60946838,1.27551055,1.5336,0.0
10.49460838,7.67266900,2.97085900,2.70739452,0.68569486,2.0917,0.0
10.59457885,7.58058700,3.00978200,2.77495916,0.66575631,2.1228,0.0
