s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,0.18510397,0.17857596,-0.41730250,0.79568133,1.56520000,7.46290906
0.07755659,0.25692172,0.14929736,-0.35895692,0.70933731,2.72620000,103.76038504
0.15692144,0.33196695,0.12347114,-0.30600972,0.62610375,7.53770000,247.50768797
0.23816704,0.41002233,0.10092776,-0.25835201,0.54863778,8.00000000,22.49782902
0.32131064,0.49086005,0.08148242,-0.21572873,0.47835499,8.00000000,0.00000000
0.40632214,0.57424650,0.06493987,-0.17779507,0.41573948,8.00000000,0.00000000
0.49313270,0.65994655,0.05109884,-0.14416069,0.36066832,8.00000000,0.00000000
0.58164320,0.74772725,0.03975607,-0.11442025,0.31267817,8.00000000,0.00000000
0.67173211,0.83736084,0.03071000,-0.08817311,0.27113911,8.00000000,0.00000000
0.76326251,0.92862730,0.02376408,-0.06503572,0.23535384,8.00000000,0.00000000
0.85608912,1.02131728,0.01872936,-0.04464994,0.20461576,8.00000000,0.00000000
0.95006443,1.11523452,0.01542654,-0.02668736,0.17825884,8.00000000,0.00000000
1.04504363,1.21019780,0.01368745,-0.01085020,0.15568948,8.00000000,0.00000000
1.14088856,1.30604216,0.01335616,0.00312969,0.13638468,8.00000000,0.00000000
1.23747045,1.40261954,0.01428967,0.01549179,0.11987763,8.00000000,-154.29608248
1.33467183,1.49979891,0.01635804,0.02644747,0.10574794,4.26250000,-131.06093733
1.43238753,1.59746587,0.01944406,0.03618023,0.09360946,2.00680000,-25.23187433
1.53052510,1.69552195,0.02344243,0.04484547,0.08309666,1.80000000,8.27873984
1.62900441,1.79388343,0.02825841,0.05256989,0.07386032,2.91110000,-1.05237309
1.72775689,1.89247996,0.03380604,0.05945259,0.06559384,1.72870000,-2.29245868
1.82672450,1.99125316,0.04000640,0.06556857,0.05804644,2.64890000,71.19869035
1.92585882,2.09015538,0.04678594,0.07097287,0.05101548,7.05340000,190.24347050
2.02512000,2.18914856,0.05407523,0.07570403,0.04433494,8.00000000,-108.20817043
2.12447598,2.28820319,0.06180767,0.07978757,0.03788089,4.36690000,-130.94005350
2.22390158,2.38729740,0.06991868,0.08324045,0.03158615,2.03960000,-26.49205301
2.32337739,2.48641566,0.07834518,0.08607600,0.02543056,1.78340000,21.54380353
2.42288859,2.58554755,0.08702553,0.08830770,0.01942708,4.44340000,31.60324639
2.52242407,2.68468665,0.09589969,0.08995147,0.01360414,3.19910000,-36.19670357
2.62197558,2.78382960,0.10490955,0.09102699,0.00800474,2.19080000,-2.76280247
2.72153707,2.88297528,0.11399933,0.09155903,0.00268354,2.94800000,86.00230799
2.82110420,2.98212415,0.12311611,0.09157803,-0.00230175,8.00000000,6.73305695
2.92067395,3.08127771,0.13221041,0.09112023,-0.00689379,3.11560000,-56.10392716
3.02024430,3.18043809,0.14123670,0.09022784,-0.01103119,4.41400000,81.16488501
3.11981408,3.27960775,0.15015402,0.08894953,-0.01464562,6.77740000,-83.69541983
3.21938282,3.37878929,0.15892663,0.08734047,-0.01767486,1.95480000,-48.30835440
3.31895068,3.47798522,0.16752459,0.08546100,-0.02007768,1.85620000,12.72263508
3.41851825,3.57719786,0.17592422,0.08337453,-0.02183270,3.31970000,102.42045732
3.51808642,3.67642911,0.18410820,0.08114582,-0.02293452,8.00000000,188.02242911
3.61765620,3.77568040,0.19206569,0.07883892,-0.02340256,8.00000000,0.00000000
3.71722856,3.87495255,0.19979209,0.07651437,-0.02328793,8.00000000,0.00000000
