x,y,yaw,curvature,speed
5.386407,2.726692,-3.091395,-0.689945,1.000
5.286424,2.725117,-3.133146,-0.146109,1.000
5.186424,2.725003,-3.141008,-0.011141,1.000
5.086424,2.725000,-3.141579,-0.000277,1.000
4.986424,2.725000,3.141593,-0.000000,1.000
4.886424,2.725000,3.141593,0.000000,1.000
4.786424,2.725000,3.141593,-0.000000,1.000
4.686424,2.725000,3.141593,-0.000000,1.000
4.586424,2.725000,3.141593,-0.000000,1.000
4.486424,2.725000,3.141593,-0.000000,1.000
4.386424,2.725000,3.141557,-0.000709,1.000
4.286424,2.725007,3.140537,-0.019694,1.000
4.186425,2.725211,3.129239,-0.206307,1.000
4.086462,2.727477,3.079261,-0.794788,1.000
3.987042,2.737655,2.994249,-0.908233,1.000
3.888902,2.756799,2.949684,0.014836,1.000
3.790727,2.775799,2.948924,-0.030054,1.000
3.692611,2.795093,2.940552,-0.137383,1.000
3.594766,2.815735,2.945034,0.227032,1.000
3.496476,2.834150,2.938767,-0.352461,1.000
3.398904,2.856014,2.902466,-0.373791,1.000
3.302215,2.881509,2.841453,-0.848393,1.000
3.208082,2.915071,2.759294,-0.797231,1.000
3.116864,2.956035,2.735828,0.326459,1.000
3.024360,2.994000,2.708380,-0.877254,1.000
2.935576,3.039883,2.629936,-0.693832,1.000
2.850136,3.091832,2.578558,-0.334924,1.000
2.766480,3.146614,2.571257,0.188858,1.000
2.681822,3.199796,2.623851,0.864573,1.000
2.592893,3.245484,2.670468,0.069311,1.000
2.503632,3.290563,2.693731,0.396278,1.000
2.412698,3.332053,2.752668,0.783763,1.000
2.318772,3.366318,2.812961,0.423663,1.000
2.223470,3.396579,2.854747,0.412487,1.000
2.127003,3.422886,2.889250,0.277799,1.000
2.029835,3.446506,2.927530,0.488368,1.000
1.931677,3.465349,3.001718,0.998071,1.000
1.832120,3.474343,3.060331,0.176786,1.000
1.732404,3.481578,3.026575,-0.853444,1.000
1.633683,3.497268,2.973811,-0.203382,1.000
1.535285,3.514965,3.010500,0.939257,1.000
1.435689,3.523373,3.087805,0.609247,1.000
1.335718,3.525709,3.102140,-0.321959,1.000
1.235908,3.531259,3.036867,-0.985952,1.000
1.137131,3.546583,2.974337,-0.267079,1.000
1.038775,3.564542,3.007755,0.937448,1.000
0.939201,3.573233,3.089849,0.707064,1.000
0.839219,3.574877,3.132770,0.152434,1.000
0.739219,3.574997,3.140977,0.011723,1.000
0.639219,3.575000,-3.141578,0.000883,1.000
0.539219,3.574994,-3.140660,0.017489,1.000
0.439219,3.574813,-3.130139,0.192948,1.000
0.339251,3.572704,-3.081783,0.775567,1.000
0.239789,3.562871,-2.999394,0.874704,1.000
0.141517,3.544395,-2.975660,-0.398469,1.000
0.042620,3.529851,-3.036742,-0.824521,1.000
-0.057172,3.523486,-3.058766,0.382819,1.000
-0.156614,3.513311,-2.982023,1.155875,1.000
-0.254222,3.491773,-2.838201,1.744753,1.000
-0.346193,3.453962,-2.483817,5.811507,1.000
-0.404812,3.375435,-2.032389,3.693378,1.000
-0.432930,3.279594,-1.794551,1.237070,1.000
-0.449065,3.180973,-1.677865,1.105198,1.000
-0.454260,3.081141,-1.600294,0.449965,1.000
-0.454961,2.981145,-1.574496,0.066326,1.000
-0.455000,2.881145,-1.570990,0.003796,1.000
-0.455000,2.781145,-1.570798,0.000041,1.000
-0.455000,2.681145,-1.570796,0.000000,1.000
-0.455000,2.581145,-1.570796,0.000000,1.000
-0.455000,2.481145,-1.570796,0.000000,1.000
-0.455000,2.381145,-1.570796,0.000000,1.000
-0.455000,2.281145,-1.570811,-0.000293,1.000
-0.455003,2.181145,-1.571408,-0.011647,1.000
-0.455122,2.081146,-1.579570,-0.151609,1.000
-0.456758,1.981163,-1.622325,-0.704556,1.000
-0.465414,1.881587,-1.704324,-0.938074,1.000
-0.483346,1.783227,-1.738038,0.261773,1.000
-0.498694,1.684453,-1.675268,0.996142,1.000
-0.504168,1.584642,-1.602685,0.458188,1.000
-0.505068,1.484648,-1.583268,-0.069470,1.000
-0.506662,1.384665,-1.620487,-0.675905,1.000
-0.514994,1.285064,-1.701352,-0.944024,1.000
-0.532661,1.186662,-1.738038,0.208163,1.000
-0.548274,1.087931,-1.678329,0.988529,1.000
-0.554090,0.988144,-1.606476,0.451140,1.000
-0.555405,0.888154,-1.596855,-0.258416,1.000
-0.559301,0.788251,-1.656068,-0.928124,1.000
-0.572413,0.689177,-1.722613,-0.404843,1.000
-0.589529,0.590670,-1.673112,1.403718,1.000
-0.592763,0.490976,-1.513409,1.810096,1.000
-0.578124,0.392150,-1.415231,0.170215,1.000
-0.561795,0.293517,-1.426779,-0.401204,1.000
-0.549432,0.194299,-1.291449,3.250461,1.000
-0.507987,0.105934,-0.789323,7.639348,1.000
-0.418863,0.062701,-0.349346,2.064774,1.000
-0.321967,0.038169,-0.219319,0.573281,1.000
-0.223785,0.019217,-0.194728,-0.080805,1.000
-0.125757,-0.000529,-0.182871,0.318169,1.000
-0.027194,-0.017140,-0.158535,0.450807,1.000
