s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
7.57663804,8.74954776,-0.08275816,0.15374708,-0.05315689,6.16549700,0.0
7.67651126,8.84828316,-0.06772546,0.14852922,-0.05130984,6.20215260,0.0
7.77640704,8.94711662,-0.05319570,0.14348690,-0.04966237,6.23852010,0.0
7.87628440,9.04600270,-0.03915898,0.13861766,-0.04782373,6.27460460,0.0
7.97618071,9.14497348,-0.02559222,0.13392334,-0.04617605,6.31041100,0.0
8.07606164,9.24399054,-0.01248412,0.12940126,-0.04435944,6.34594430,0.0
8.17595780,9.34307982,0.00018704,0.12505235,-0.04272109,6.38120920,0.0
8.27584164,9.44221004,0.01243372,0.12087398,-0.04093342,6.41621010,0.0
8.37573736,9.54140130,0.02427638,0.11686671,-0.03930425,6.45095160,0.0
8.47562357,9.64062884,0.03572842,0.11302726,-0.03756498,6.48543800,0.0
8.57551879,9.73990762,0.04680904,0.10935563,-0.03595050,6.51967330,0.0
8.67540691,9.83921848,0.05753230,0.10584856,-0.03426448,6.55366180,0.0
8.77530192,9.93857232,0.06791630,0.10250511,-0.03267890,6.58740740,0.0
8.87519159,10.03795422,0.07797538,0.09932189,-0.03105236,6.62091390,0.0
8.97508701,10.13737256,0.08772670,0.09629754,-0.02950101,6.65418500,0.0
9.07497802,10.23681482,0.09718458,0.09342800,-0.02794980,6.68722450,0.0
9.17487382,10.33628786,0.10636522,0.09071104,-0.02644827,6.72003580,0.0
9.27476605,10.43578126,0.11528270,0.08814270,-0.02497210,6.75262240,0.0
9.37466174,10.53530004,0.12395226,0.08571996,-0.02353469,6.78498770,0.0
9.47455520,10.63483670,0.13238764,0.08343864,-0.02213938,6.81713490,0.0
9.57445054,10.73439366,0.14060302,0.08129479,-0.02078304,6.84906740,0.0
9.67434527,10.83396684,0.14861164,0.07928409,-0.01947318,6.88078810,0.0
9.77424015,10.93355556,0.15642656,0.07740191,-0.01821001,6.91230010,0.0
9.87413599,11.03315930,0.16406038,0.07564367,-0.01699183,6.94360640,0.0
9.97403048,11.13277450,0.17152502,0.07400413,-0.01583291,6.97470990,0.0
10.07392750,11.23240390,0.17883228,0.07247827,-0.01471670,7.00561340,0.0
10.17382139,11.33204082,0.18599284,0.07106069,-0.01366396,7.03631960,0.0
10.27371880,11.43169094,0.19301764,0.06974618,-0.01265423,7.06683130,0.0
10.37361265,11.53134630,0.19991622,0.06852853,-0.01172359,7.09715120,0.0
10.47351144,11.63101460,0.20669842,0.06740236,-0.01082379,7.12728160,0.0
10.57340501,11.73068496,0.21337250,0.06636301,-0.00998420,7.15722530,0.0
10.67330516,11.83036850,0.21994760,0.06540575,-0.00918216,7.18698460,0.0
10.77319045,11.93004320,0.22643030,0.06451521,-0.00864667,7.21656190,0.0
10.87308814,12.02973584,0.23282770,0.06366447,-0.00838844,7.24595960,0.0
10.97296423,12.12941224,0.23914020,0.06281882,-0.00854189,7.27517990,0.0
11.07286000,12.22911364,0.24536888,0.06194436,-0.00896888,7.30422520,0.0
11.17273824,12.32880308,0.25150716,0.06102984,-0.00934061,7.33309750,0.0
11.27263455,12.42851624,0.25755352,0.06009597,-0.00935907,7.36179920,0.0
11.37251747,12.52822164,0.26350586,0.05917630,-0.00905339,7.39033220,0.0
11.47241385,12.62794582,0.26936882,0.05830791,-0.00833447,7.36281120,0.0
11.57230066,12.72766530,0.27514820,0.05753151,-0.00720971,7.28378730,0.0
11.67219620,12.82739762,0.28085626,0.05688844,-0.00566592,7.20661000,0.0
11.77208799,12.92712942,0.28650766,0.05642093,-0.00369408,7.12860060,0.0
11.87198375,13.02686726,0.29212248,0.05617018,-0.00132620,7.04752910,0.0
11.97188225,13.12660858,0.29772424,0.05617723,0.00146711,6.96207910,0.0
12.07178682,13.22635514,0.30334096,0.05649470,0.00488817,6.87163230,0.0
12.17169718,13.32610472,0.30900672,0.05718539,0.00893807,6.78190770,0.0
12.27161177,13.42585342,0.31476180,0.05832277,0.01382897,6.69508060,0.0
12.37152838,13.52559610,0.32065482,0.05997557,0.01925570,6.61102930,0.0
12.47144127,13.62532354,0.32673950,0.06219373,0.02514695,6.52964720,0.0
12.57134757,13.72502880,0.33307430,0.06499514,0.03093159,6.45081080,0.0
12.67125556,13.82471570,0.33971730,0.06838255,0.03688343,6.37447790,0.0
12.77115307,13.92436698,0.34672684,0.07236123,0.04276513,6.30050190,0.0
12.87105713,14.02399394,0.35416254,0.07692813,0.04867003,6.22884270,0.0
12.97094735,14.12356978,0.36208144,0.08209392,0.05474809,6.15935700,0.0
13.07084558,14.22310880,0.37054548,0.08785705,0.06064577,6.09200420,0.0
13.17072793,14.32257890,0.37961092,0.09423096,0.06697362,6.02667020,0.0
13.27060891,14.42198478,0.38934142,0.10121808,0.07293889,5.96339850,0.0
13.37048335,14.52131062,0.39979514,0.10882645,0.07943161,5.90215010,0.0
13.47033654,14.62052930,0.41103402,0.11706573,0.08556981,5.84313790,0.0
13.57020020,14.71965872,0.42312156,0.12593815,0.09216231,5.78666690,0.0
13.67002814,14.81863730,0.43611612,0.13545862,0.09851907,5.73267400,0.0
13.76987880,14.91750578,0.45008678,0.14561518,0.10497633,5.68117490,0.0
13.86969259,15.01618596,0.46508726,0.15642114,0.11149269,5.63209030,0.0
13.96951839,15.11470494,0.48118696,0.16785697,0.11766131,5.58545580,0.0
14.06932215,15.21300634,0.49843876,0.17991523,0.12396425,5.54129100,0.0
14.16911496,15.31107604,0.51690332,0.19258503,0.12993998,5.49953340,0.0
14.26890965,15.40889990,0.53663836,0.20584548,0.13585190,5.46002490,0.0
14.36867730,15.50642084,0.55769190,0.21967197,0.14126844,5.42249530,0.0
14.46845525,15.60364538,0.58012016,0.23404249,0.14682734,5.38620950,0.0
14.56821033,15.70050876,0.60396470,0.24892964,0.15160859,5.35112200,0.0
14.66796654,15.79700154,0.62927170,0.26430181,0.15659652,5.31701880,0.0
14.76771527,15.89308004,0.65608086,0.28013675,0.16089492,5.28405890,0.0
14.86745787,15.98871006,0.68442670,0.29638228,0.16485402,5.25209850,0.0
14.96719237,16.08385336,0.71433860,0.31303078,0.16899130,5.22088890,0.0
15.06692327,16.17847562,0.74584860,0.33001966,0.17171366,5.19066710,0.0
15.16664205,16.27253302,0.77897022,0.34734599,0.17575434,5.16060350,0.0
15.26636689,16.36600116,0.81373730,0.36498226,0.17796345,5.13099240,0.0
15.36608435,16.45883074,0.85015490,0.38288043,0.18099755,5.10142840,0.0
15.46580119,16.55098736,0.88824170,0.40104975,0.18341835,5.07182680,0.0
15.56551597,16.64243012,0.92800676,0.41941753,0.18502569,5.04223360,0.0
15.66520561,16.73310092,0.96944142,0.43799919,0.18766148,5.01248020,0.0
15.76492234,16.82300504,1.01257696,0.45671503,0.18788585,4.98213840,0.0
15.86457440,16.91202776,1.05735964,0.47558701,0.19061763,4.95160040,0.0
15.96429255,17.00024196,1.10385656,0.49455361,0.19001621,4.92010600,0.0
16.06395348,17.08750950,1.15198844,0.51358147,0.19162783,4.88786370,0.0
16.16366280,17.17388364,1.20180266,0.53261721,0.19034979,4.85454500,0.0
16.26333780,17.25926758,1.25322920,0.55162672,0.19096367,4.81985620,0.0
16.36303625,17.34367696,1.30628424,0.57053669,0.18844350,4.78385290,0.0
16.46272176,17.42706396,1.36090850,0.58929813,0.18792243,4.74575130,0.0
16.56241609,17.50942032,1.41709024,0.60783105,0.18392890,4.70585720,0.0
16.66208589,17.59071282,1.47475824,0.62604035,0.18135937,4.66297350,0.0
16.76178538,17.67097342,1.53390404,0.64385262,0.17609464,4.61719930,0.0
16.86143648,17.75014510,1.59442004,0.66118584,0.17158824,4.56748900,0.0
16.96114878,17.82831814,1.65631930,0.67810674,0.16800112,4.51341800,0.0
17.06080541,17.90540056,1.71948372,0.69473733,0.16553271,4.45400430,0.0
17.16053807,17.98148814,1.78396072,0.71133276,0.16751347,4.38834290,0.0
17.26019610,18.05643224,1.84965018,0.72815339,0.16984914,4.31556450,0.0
17.35989800,18.13028598,1.91662850,0.74546177,0.17754983,4.23446260,0.0
17.45952920,18.20289144,1.98485476,0.76361915,0.18678096,4.14543150,0.0
17.55917646,18.27422614,2.05443160,0.78293438,0.20109447,4.05357940,0.0
17.65873484,18.34409064,2.12535990,0.80379571,0.21782914,3.96654430,0.0
17.75827799,18.41239026,2.19777536,0.82650130,0.23863433,3.88760960,0.0
17.85769145,18.47886498,2.27169524,0.85133659,0.26082093,3.81721490,0.0
17.95705036,18.54336596,2.34727180,0.87846202,0.28549647,3.75731700,0.0
18.05624624,18.60559688,2.42451904,0.90798769,0.30955577,3.70879580,0.0
18.15536432,18.66538076,2.50357776,0.93995041,0.33566846,3.67278660,0.0
18.25431929,18.72240978,2.58444664,0.97429827,0.35828821,3.64899090,0.0
18.35318249,18.77648742,2.66720860,1.01079359,0.38007921,3.63800570,0.0
18.45193080,18.82736024,2.75184420,1.04921315,0.39786674,3.63107510,0.0
18.55060337,18.87483408,2.83834570,1.08923137,0.41314275,3.62744320,0.0
