s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,-0.00002519,0.49656567,-1.14282532,0.61100574,3.98229740,-12.16849980
0.04722806,0.02019470,0.45388493,-1.11368340,0.62295608,3.94523690,-3.18760491
0.09437934,0.04162551,0.41188537,-1.08405699,0.63353783,3.90604240,-3.33128605
0.14146359,0.06426812,0.37060294,-1.05401092,0.64254462,3.86486770,-3.44103235
0.18849186,0.08812005,0.33007217,-1.02361774,0.64979531,3.82225060,-3.57367432
0.23547631,0.11317534,0.29032583,-0.99295657,0.65513871,3.77696900,-3.66689986
0.28243002,0.13942448,0.25139469,-0.96211176,0.65845800,3.73105000,-3.56460178
0.32936672,0.16685441,0.21330726,-0.93117148,0.65967446,3.68726720,-3.27157029
0.37630054,0.19544856,0.17608954,-0.90022618,0.65875035,3.64776230,-2.77970579
0.42324578,0.22518696,0.13976486,-0.86936696,0.65569057,3.61572850,-2.04656096
0.47021658,0.25604636,0.10435365,-0.83868394,0.65054302,3.59460430,-1.32440656
0.51722668,0.28800043,0.06987341,-0.80826457,0.64339731,3.58110190,-0.82986628
0.56428916,0.32101997,0.03633854,-0.77819208,0.63438212,3.57280440,-0.53467183
0.61141617,0.35507317,0.00376042,-0.74854400,0.62366091,3.56700640,-0.40685163
0.65861872,0.39012593,-0.02785264,-0.71939083,0.61142651,3.56204520,-0.34546696
0.70590652,0.42614209,-0.05849528,-0.69079490,0.59789469,3.55784220,-0.29161291
0.75328778,0.46308383,-0.08816500,-0.66280955,0.58329709,3.55428580,-0.26663516
0.80076917,0.50091199,-0.11686191,-0.63547845,0.56787390,3.55072580,0.96127158
0.84835571,0.53958637,-0.14458862,-0.60883528,0.55186664,3.58002310,3.52065405
0.89605077,0.57906613,-0.17134993,-0.58290369,0.53551137,3.64442730,5.06459870
0.94385612,0.61931008,-0.19715257,-0.55769745,0.51903257,3.71273840,5.24612265
0.99177200,0.66027703,-0.22200495,-0.53322092,0.50263789,3.77968200,5.22355228
1.03979722,0.70192608,-0.24591682,-0.50946973,0.48651389,3.84532980,5.20131028
1.08792931,0.74421692,-0.26889904,-0.48643160,0.47082274,3.90974730,5.17952278
1.13616469,0.78711008,-0.29096325,-0.46408735,0.45569996,3.97299470,5.15828900
1.18449886,0.83056714,-0.31212162,-0.44241205,0.44125319,4.03512720,5.13768363
1.23292660,0.87455094,-0.33238665,-0.42137616,0.42756167,4.09619580,5.11776377
